milk_type,age,measurement,ph
whole,0,pH1,6.6
whole,0,pH2,6.51
whole,0,pH3,6.6
whole,0,pH4,6.68
whole,1,pH1,6.84
whole,1,pH2,6.76
whole,1,pH3,6.78
whole,1,pH4,6.68
whole,4,pH1,4.01
whole,4,pH2,NA
whole,4,pH3,4.26
whole,4,pH4,5.11
whole,8,pH1,4.6
whole,8,pH2,NA
whole,8,pH3,4.89
whole,8,pH4,4.34
chocolate,0,pH1,6.06
chocolate,0,pH2,6.06
chocolate,0,pH3,6.71
chocolate,0,pH4,6.64
chocolate,1,pH1,6.55
chocolate,1,pH2,6.55
chocolate,1,pH3,6.12
chocolate,1,pH4,6.56
chocolate,4,pH1,5.76
chocolate,4,pH2,5.85
chocolate,4,pH3,5.91
chocolate,4,pH4,6.14
chocolate,8,pH1,4.39
chocolate,8,pH2,4.63
chocolate,8,pH3,5.62
chocolate,8,pH4,4.63
oat,0,pH1,7.3
oat,0,pH2,7.25
oat,0,pH3,7.7
oat,0,pH4,7.68
oat,1,pH1,7.7
oat,1,pH2,7.78
oat,1,pH3,7.72
oat,1,pH4,7.7
oat,4,pH1,7.55
oat,4,pH2,7.43
oat,4,pH3,7.21
oat,4,pH4,7.76
oat,8,pH1,6.93
oat,8,pH2,6.87
oat,8,pH3,6.92
oat,8,pH4,6.95
buttermilk,0,pH1,4.4
buttermilk,0,pH2,4.37
buttermilk,0,pH3,4.25
buttermilk,0,pH4,4.41
buttermilk,1,pH1,4.35
buttermilk,1,pH2,4.38
buttermilk,1,pH3,4.25
buttermilk,1,pH4,4.43
buttermilk,4,pH1,4.26
buttermilk,4,pH2,4.38
buttermilk,4,pH3,4.24
buttermilk,4,pH4,4.44
buttermilk,8,pH1,4.19
buttermilk,8,pH2,4.37
buttermilk,8,pH3,4.24
buttermilk,8,pH4,4.45
